Name,Pronunciation,Region,Density,Description,Bio,Animal,Img,Substitute
Abbaye De Belloc Cheese,ABAYE-duh-bel-AWK,France,Hard,"Pair with apples, sliced pears OR a sampling of olives and thin sliced salami. Pass around slices of baguette.",Abbaye De Belloc Cheese is hard cheese made from French Pyrenees sheep's milk by Benedictine Monks at the abbey of Notre-Dame de Belloc. The cheese is made starting in late December through mid July.,Sheep,https://www.gourmetsleuth.com/images/default-source/dictionary/abbaye-de-belloc.jpg,Raclette
Ardrahan cheese,,Ireland,Semi-Soft,Serve with a substantial wheat cracker and apples or grapes.,,Cow,https://www.gourmetsleuth.com/images/food/ardrahan-jpg.jpg,Durrus
Asadero cheese,Ah-sah-deh-ro,Mexico,Semi-Soft,Rajas (blistered chile strips) fresh corn tortillas,"Asadero cheese - The traditional use for this mild, chewy cheese is a filling for chiles rellenos and a popular Mexican dish called chile con queso. In Oaxaca trompillos (wild berries) are used in the cheese making process and this imparts a distinctive flavor not found in Northern Mexico or in the U.S. versions. Asadero is made in the Mexican states of Chihuahua and Michocan.",Cow,https://www.gourmetsleuth.com/images/default-source/dictionary/asadero-jpg.jpg,Teleme
Asiago cheese,ah-zee-AH-goh,Italy,Hard,"Table water crackers, raw nuts (almond, walnuts)","Asiago cheese is from Italy located in northern Veneto. It is a traditional, farmhouse and creamery, unpasteurized, hard cheese. There are two types of Asiago cheese. Asiago d'allevo is exported to the U.S. and Asiago pressato which is not exported. The best quality Asiago are the brands imported from Italy. We do have domestic brands that are passable but not as good as the imports. Asiago d'allevo is sold in three stages: fresh (fresco) aged 2-3 months, medium ripe (mezano) aged 3-5 months and slow ripened (vecchio) aged 9 months or more.",Cow,https://www.gourmetsleuth.com/images/default-source/productimages/asiago-cheese-jpg0781604d5214.jpg,Pecorino Romano
Azeitao,ah-zay-DONH,Portugal,Soft,"Nutty brown bread, grapes","Azeito (ah-zay-DONH) is a concentrated round of sheep's milk cheese made with cardoon thistle rather than traditional animal rennet. Azeito is named for the village where it was born in the foothills of the Arribida mountain range in Portugal. The pastures where the sheep of Azeito graze are lush and covered in herbaceous scrub, giving the milk its characteristically rich flavor. Molded in cloth, Azeito has a rustic appearance that adds to its romance. Its texture ranges from soft and unctuous to firm and chewy - cut open the top and scoop its yellow cream onto slabs of nutty bread. Azeito was awarded name-protection (Denominao de Origem certification, DOP), elevating its stature in Portugal and abroad. If you have never tasted Portuguese cheese before, this is a great starting place! Pair Azeito with Tempranillo or Albarino.",Sheep,https://www.gourmetsleuth.com/images/default-source/dictionary/azeitao.jpg,Camembert
Baby Swiss Cheese,,United States,Semi-Soft,"Serve with dried fruits, whole grain, nutty breads, nuts",Baby Swiss. Its appearance and texture is ivory to pale yellow. It is a creamy cheese with small holes and it melts well when shredded,Cow,https://www.gourmetsleuth.com/images/cheese/babyswiss-jpg.jpg,Swiss cheese
Ballyoak cheese,,Ireland,Semi-Soft,"Serve with apples, thin sliced baguette or water crackers",Ballyoak is a type of Brie made in Ireland using pasturized cow's milk. The cheese is then kiln-smoked with oak wood. Ballyoak cheese can be found in some gourmet shops as well as online stores. This cheese pairs well with Pinot Noir.,Cow,https://www.gourmetsleuth.com/images/default-source/dictionary/ballyoak-cheese-jpg,Smoked Gouda
Banon Cheese,BAN-awn,France,Soft,"Choose lighter wines if the cheese is young, if aged go for the more full bodied wines. Serve with grapes, simple table water crackers or lightly toasted baguette slices.","Banon cheese is a northern French Provensal cheese that comes in a 3.5-ounce mini wheel, traditionally washed with eau-de-vie (marc), wrapped in chestnut or grape leaves. Predominantly a goat's milk cheese, Banon also contains small amounts of cow and sheep milk blended added to its recipe. It tastes best after having ripened for a few weeks. During this time it develops a smoother texture and rich flavor. Ripening often results in a small amount of edible blue mold under the wrapper. This mold helps to develop the flavor of the cheese. This cheese has a woodsy, fruity flavor that goes well with fresh fruit and sweet dessert wines. Made from pasteurized goat's, ewe's and cow's milk. Provided by igourmet.com",Goat,https://www.gourmetsleuth.com/images/default-source/dictionary/banon-jpg.jpg,Saint Marcellin
Beaufort cheese,,France,Semi-Hard,"Serve with sliced ripe pears, apples, or muscat grapes and your choice of crackers.","A French cow's milk, semi-hard cheese. Beaufort dates back to Roman times which is similar in flavor to Swiss Gruyere.",Cow,https://www.gourmetsleuth.com/images/default-source/dictionary/beaufort-jpg.jpg,Gruyere
Beemster Mustard Cheese,,United States,Semi-Hard,"Add grapes, pears, figs or dates to your Beemster Mustard Cheese plate along with pecan halves.","Beemster Mustard cheese is part of the gourmet cheese line produced by a small coop in the Netherlands. This semi-hard cheese has a dark yellow, smooth texture dotted with mustard seed. The mustard flavor is barely noticeable. Use this cheese on your cheese tray, sliced and placed atop a grilled burger or use in a sauce.",Cow,https://www.gourmetsleuth.com/images/default-source/productimages/beemster-cheese-mustardseed-jpg.jpg,Gouda
Beenleigh Blue cheese,,United Kingdom,Blues,,"Apasturized sheep's milk blue cheese from Devon, U.K. This is a mild cheese that Cheese Connoisseur suggests pairs well with honey and pears. Use as part of your cheese board or serve with a salad. This cheese is appropriate for vegetarians.",Sheep,https://www.gourmetsleuth.com/images/default-source/dictionary/beenleigh-blue-jpg.jpg,Maytag Blue cheese
