Name|Pronunciation|Color|Sparkling|Region|Country|Bio|Img|Substitute
Asti Spumante||White|T|Piedmont|Italy|Asti Spumante is an Italian white sparking wine from the town of Asti located in the Piedmont region of northern Italy. Asti is produced using the Moscato Bianco grape which creates a very sweet wine that is low in alcohol and frequently used as a dessert wine. The alcohol content of Asti Spumante is about 9% which makes it a good option if you're looking for a lower alcohol beverage.|https://www.gourmetsleuth.com/images/default-source/dictionary/asti-spumanti.jpg|Prosecco
Barbaresco|bahr bah ress koh|Red|F|Piedmont|Italy|Pronounced bahr bah ress koh. A D.O.C.G. regional red wine produced in the Piedmont region of Italy, specifically in the towns Barbaresco, Neive, and Treiso dAlba. Characteristics: Barbaresco wines are Nebbiolo grape varietal based, producing dry, rich, powerful, firm tastes with an aroma of spice, pepper, and black cherry. Although dry, Barbaresco wines exhibit a perfumed sweetness. If drunk young the wine tends to be closed with fruity aroma and a spiced, tannic finish. At maturity it opens up and the finish is smooth. Barolo wines are Nebbiolo varietal based and are also produced in the Piedmont region of Italy Barbaresco wines tend to be lighter than the Barolo. Barbaresco wines are thought to be more elegant and refined than Barolo wines. Ageing: Must be aged for 2 years, one of those years in a wood. Riserva Barbaresco must be aged for 3 years, one of those years in a wood. Serving temperature: Best when served at an approximate temperature of 65 F. Food pairings: Game, red meat, veal, poultry, fowl, polenta, fondues, white truffle dishes, and aged cheeses.|https://www.gourmetsleuth.com/images/default-source/recipes/default-image.gif|Barolo
Bardolino|bar doe lee no|Red|F|Veneto|Italy|Pronounced [bar doe lee no]. Regional red wine from from the Bardolino village along Lake Garda in the Veneto region of Northeast Italy.|https://www.gourmetsleuth.com/images/default-source/recipes/default-image.gif|Beaujolais
Barolo|Bah-ROH-lo|Red|F|Piedmont|Italy|"Pronounced Bah-ROH-lo. A regional red wine from the town of Barolo, in the Piedmont region of Italy. Barolo regional wine is referred to as the ""King of Italian Wines"". Characteristics: Wines from the Barolo region are Nebbiolo grape varietal based, producing full-bodied, complex, deep red wines. Ageing complete, Barolo wines are characterized as dense, rich, full-bodied, complex, and earthy with flavors of truffles, violets, fruit, licorice, and at times oaky with high levels of tannin. Barolo wines that are consumed young are heavy and command an acquired taste. Ageing: Can be drunk young. Recommended aging of 3-5 years, up to 10 years to reach its peak. Standard: 2 years in barrel, 1 year in bottle. Riserva: 3 years in barrel, 1 year in bottle. Serving temperature: Serve at a temperature of 64.4-68F. Food pairings: Beef, beef Wellington, lamb, pork, wild game, and hard cheeses."|https://www.gourmetsleuth.com/images/default-source/dictionary/barolo-wine.jpg|Barbaresco
Beaujolais|Boe-zjoh-lay|Red|F||France|Beaujolais is a light bodied French red wine (and a few white varieties) made from primarily from Gamay grapes.Beaujolais Nouveau is a younger version of the wine which is normally released the third Thursday in November each year. Either version of Beaujolais should be served slightly chilled at about 55F.|https://www.gourmetsleuth.com/images/default-source/dictionary/beaujolais.jpg|Pinot Noir
Beer||||||An low-alcohol beverage brewed from hops or other cereals such as corn or wheat or barley. The average alcohol content varies from 3.2 to 8%. Small boutique breweries have popped up all over the U.S. making beer more popular in the U.S. than it has ever been.  These new brews incorporate a variety of unique flavorings like grains of paradise,  jamaica, even chocolate.  Home brewing remains a popular hobby and there are many kits and supplies available online.|https://www.gourmetsleuth.com/images/default-source/dictionary/beer.jpg|
Bourgueil AC|boor-GEUH-yuh|Red|F|Touraine|France|Bourgueil AC is an appellation located in the Loire Valley (Touraine region) of France which focuses primarily on the production of red wines. Most of the grapes grown in this region are Cabernet Franc (known as Breton locally) but they grow a small amount of Cabernet Sauvignon as well. Most of the wines produced tend to be light and fruity. Look for these wines in better wine shops or specialty shops such as Wine.com.|https://www.gourmetsleuth.com/images/default-source/dictionary/bourgueil.jpg|Cabernet Franc
Brunello|Broo-NELL-oh|Red|F|Tuscany|Italy|Pronounced Broo-NELL-oh. A grape from the Tuscan region of Italy used to produce red Brunello wine including the exclusive Brunello di Montalcino wines.|https://www.gourmetsleuth.com/images/default-source/recipes/default-image.gif|Barolo
Cabernet Sauvignon||Red|F|||Cabernet Sauvignon is a full bodied, fruity red wine. Cabernet is probably the most popular red wine in the U.S. Cabernet grapes are grown in most major wine growing areas of the world including United States, Australia, Canada, Chile, New Zealand, and South Africa.|https://www.gourmetsleuth.com/images/default-source/dictionary/cabernet-sauvignon-wine-jpg.jpg|Merlot
Cava||White|T|Catalonia|Spain|Cava is a sparkling white or red wine produced in Catalonia, Spain. The name cava translates to cave or cellar which refers to how the sparkling wines were produced and stored. These wines tend to be bright and fruity flavored. This wine pairs well with zesty Spanish cheese such as Manchego and it's cousin Campo de Montalban or alternately a nicely aged Gouda. |https://www.gourmetsleuth.com/images/default-source/dictionary/cava.jpg|Champagne
